,Date,Denomination,Mint,Obverse,Reverse,Obverse_URL,Reverse_URL
6098,AD 98 - AD 99,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS II S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand and palm in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185409/record_DE-MUS-062622_kenom_185409_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185409/record_DE-MUS-062622_kenom_185409_rs.jpg/full/120,/0/default.jpg"
6101,AD 98 - AD 99,Dupondius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, radiate, right","TR POT COS II P P S C: Abundantia, seated left on throne, with cornucopiae as arms, holding vertical sceptre in right hand and resting left hand on fold of drapery over lap","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_184966/record_DE-MUS-062622_kenom_184966_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_184966/record_DE-MUS-062622_kenom_184966_rs.jpg/full/120,/0/default.jpg"
6102,AD 98 - AD 99,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS II P P S C: Concordia, draped, seated left on chair without back, sacrificing out of patera in right hand over lighted altar and holding double cornucopiae in left",http://numismatics.org/collectionimages/19001949/1944/1944.100.44686.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.44686.rev.width175.jpg
6104,AD 98 - AD 99,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS II P P S C: Pax, draped, seated left on throne, holding branch in extended right hand and transverse sceptre in left",http://numismatics.org/collectionimages/19501999/1995/1995.11.517.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1995/1995.11.517.rev.width175.jpg
6105,AD 98 - AD 99,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS II P P S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand and palm in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185403/record_DE-MUS-062622_kenom_185403_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185403/record_DE-MUS-062622_kenom_185403_rs.jpg/full/120,/0/default.jpg"
6113,AD 99 - AD 100,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Mars, helmeted, in military dress, standing right, holding inverted spear in right hand and resting left on shield on ground","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127906/record_DE-MUS-062622_kenom_127906_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127906/record_DE-MUS-062622_kenom_127906_rs.jpg/full/120,/0/default.jpg"
6114,AD 99 - AD 100,Dupondius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, radiate, right","TR POT COS III P P S C: Abundantia seated left on chair with crossed cornucopiae, holding sceptre in right hand","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127909/record_DE-MUS-062622_kenom_127909_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_127909/record_DE-MUS-062622_kenom_127909_rs.jpg/full/120,/0/default.jpg"
6115,AD 99 - AD 100,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Bust of Trajan, laureate, right (sometimes with aegis)","TR POT COS III P P S C: Concordia, draped, seated left on chair without back, sacrificing with patera in right hand over lighted altar left and holding double cornucopiae in left",http://numismatics.org/collectionimages/19501999/1957/1957.172.1635.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1635.rev.width175.jpg
6116,AD 99 - AD 100,Sestertius,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Bust of Trajan, laureate, right (sometimes with aegis)","TR POT COS III P P S C: Pax seated left, holding branch and sceptre",http://numismatics.org/collectionimages/00001899/1892/1892.37.1.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/1892/1892.37.1.rev.width175.jpg
6120,AD 99 - AD 100,As,Rome,"IMP CAES NERVA TRAIAN AVG GERM P M: Head of Trajan, laureate, right","TR POT COS III P P S C: Victory, draped, advancing left, holding shield inscribed SPQR in right hand and palm in left","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185405/record_DE-MUS-062622_kenom_185405_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_185405/record_DE-MUS-062622_kenom_185405_rs.jpg/full/120,/0/default.jpg"
